action,match_key,display_name,sources,status,remark
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-issledovatelskiyinzhenerniyinstitut,AO Nauchno—Issledovatelskiy Inzhenerniy Institut,legacy;経産省,有効,制裁リスト（経産省／令和5年12月15日外為法）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-issledovatelskyinstitutvychislitelnykhkompleksovimenim.a,AO Nauchno— Issledovatelsky Institut Vychislitelnykh Kompleksov Imeni M.A,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvenniytsentravtomatikiipriborostroeniyaimeniakademika,AO Nauchno-Proizvodstvenniy Tsentr Avtomatiki i Priborostroeniya imeni Akademika,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoeobedinenieim.s.a.lavochkina,AO Nauchno-Proizvodstvennoe Obedinenie IM. S.A. Lavochkina,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoepredpriyatieelektronstandart,AO Nauchno-Proizvodstvennoe Predpriyatie Elektronstandart,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoepredpriyatiekontakt,AO Nauchno-Proizvodstvennoe Predpriyatie Kontakt,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoepredpriyatiepulsar,AO Nauchno-Proizvodstvennoe Predpriyatie Pulsar,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoepredpriyatieradarmms,AO Nauchno-Proizvodstvennoe Predpriyatie Radar MMS,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoepredpriyatiesapfir,AO Nauchno-Proizvodstvennoe Predpriyatie Sapfir,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoepredpriyatietopaz,AO Nauchno-Proizvodstvennoe Predpriyatie Topaz,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennoyeobedinenierusskiebazoviyeinformatsionniye,AO Nauchno— Proizvodstvennoye Obedinenie Russkie Bazoviye Informatsionniye,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-proizvodstvennyytsentrvigstar,AO Nauchno-proizvodstvennyy tsentr Vigstar,経産省,有効,制裁リスト（経産省）
